signal_date,ticker,target_weight,current_weight,order_weight_delta,alpha_score,trading_cost_bps,net_alpha_after_cost_bps,min_net_alpha_after_cost_bps,passes_cost_threshold,alpha_rank,quantile_bucket,price_flag,reason_text
2026-05-14,ADNC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2065.0,2.0,False,
2026-05-14,ADOC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2066.0,2.0,False,
2026-05-14,ADOM,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2067.0,2.0,False,
2026-05-14,ADP,0.0,0.0,0.0,0.0011031940081637822,3.0,8.031940081637822,5.0,True,1307.0,4.0,True,
2026-05-14,ADPT,0.0,0.0,0.0,-0.00018856299225221426,3.0,-4.885629922522143,5.0,False,6470.0,2.0,True,
2026-05-14,ADPV.V,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2068.0,2.0,False,
2026-05-14,ADRO,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2069.0,2.0,False,
2026-05-14,ADSE,0.0,0.0,0.0,0.0012113831451617874,3.0,9.113831451617875,5.0,True,1243.0,4.0,True,
2026-05-14,ADSK,0.0,0.0,0.0,0.0007028498996014168,3.0,4.028498996014168,5.0,False,1571.0,3.0,True,
2026-05-14,ADTH,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2070.0,2.0,False,
2026-05-14,ADTN,0.00078125,0.0,0.00078125,0.005026009974205368,3.0,47.26009974205368,5.0,True,186.0,5.0,True,"BUY because predicted alpha is in the top decile. Net alpha after estimated 3.0 bps trading cost is 47.26 bps versus threshold 5.00 bps. Main contributors were intraday_return, parkinson_vol_20, mom_63. Price filter passed; liquidity filter passed."
2026-05-14,ADTX,0.0,0.0,0.0,-0.02519054482247358,3.0,-254.9054482247358,5.0,False,7562.0,1.0,False,
