date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,JBHT,SHORT,0,0,0.0,254.66,,254.66,254.66,2.0,0.0078125,planned,
,JBIO,SELL,0,0,0.0,24.13,,24.13,24.13,2.0,6.975446428571404e-05,planned,
,JLHL,SHORT,0,0,0.0,19.78,,19.78,19.78,2.0,0.0078125,planned,
,KALU,BUY,0,0,0.0,177.84,,177.84,177.84,2.0,0.0078125,planned,
,KOPN,SELL,0,0,0.0,5.52,,5.52,5.52,2.0,0.007882254464285712,planned,
,KRT,COVER,0,0,0.0,26.24,,26.24,26.24,2.0,0.007882254464285712,planned,
,KXIN,COVER,0,0,0.0,5.66,,5.66,5.66,2.0,0.007882254464285712,planned,
,KYIV,BUY,0,0,0.0,13.71,,13.71,13.71,2.0,0.0078125,planned,
,LASR,SELL,0,0,0.0,81.33,,81.33,81.33,2.0,6.975446428571404e-05,planned,
,LBRDA,COVER,0,0,0.0,34.5,,34.5,34.5,2.0,6.975446428571404e-05,planned,
,LBRDK,COVER,0,0,0.0,34.55,,34.55,34.55,2.0,6.975446428571404e-05,planned,
,LCID,COVER,0,0,0.0,6.27,,6.27,6.27,2.0,0.007882254464285712,planned,
,LCUT,SHORT,0,0,0.0,7.75,,7.75,7.75,2.0,0.0078125,planned,
,LGN,BUY,0,0,0.0,89.0,,89.0,89.0,2.0,0.0078125,planned,
,LIEN,SHORT,0,0,0.0,9.83,,9.83,9.83,2.0,0.0078125,planned,
,LIFE,SELL,0,0,0.0,22.47,,22.47,22.47,2.0,0.007882254464285712,planned,
,LILA,COVER,0,0,0.0,7.56,,7.56,7.56,2.0,0.007882254464285712,planned,
,LINC,BUY,0,0,0.0,50.99,,50.99,50.99,2.0,0.0078125,planned,
,LITE,SELL,0,0,0.0,1001.81,,1001.81,1001.81,2.0,6.975446428571404e-05,planned,
,LLYVA,SHORT,0,0,0.0,97.14,,97.14,97.14,2.0,0.0078125,planned,
,LMB,SHORT,0,0,0.0,74.89,,74.89,74.89,2.0,0.0078125,planned,
,LMRI,COVER,0,0,0.0,7.21,,7.21,7.21,2.0,6.975446428571404e-05,planned,
