submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason
2026-05-14T17:13:00.563471+00:00,CEPS,BUY,241,10.18,2453.38,False,Submitted,1283,,1.0,2.0,0.245338,0.490676,0.736014,True,
2026-05-14T17:13:00.563471+00:00,CEVA,BUY,125,38.06,4757.5,False,Filled,1286,,1.0,2.0,0.47575,0.9515,1.42725,True,
2026-05-14T17:13:00.563471+00:00,CGCT,SELL,383,10.38,3975.5400000000004,False,Filled,1289,,1.0,2.0,0.397554,0.795108,1.192662,True,
2026-05-14T17:13:00.563471+00:00,CGEM,BUY,29,16.31,472.98999999999995,False,Filled,1292,,1.0,2.0,0.047298999999999994,0.09459799999999999,0.141897,True,
2026-05-14T17:13:00.563471+00:00,CGNT,SELL,82,9.44,774.0799999999999,False,Filled,1295,,1.0,2.0,0.07740799999999999,0.15481599999999998,0.23222399999999999,True,
2026-05-14T17:13:00.563471+00:00,CGON,BUY,68,69.05,4695.4,False,Submitted,1298,,1.0,2.0,0.46953999999999996,0.9390799999999999,1.40862,True,
2026-05-14T17:13:00.563471+00:00,CHMG,SELL,4,67.34,269.36,False,Submitted,1301,,1.0,2.0,0.026936,0.053872,0.080808,True,
2026-05-14T17:13:00.563471+00:00,CHRN,SELL,251,18.93,4751.43,False,Submitted,1304,,1.0,2.0,0.47514300000000004,0.9502860000000001,1.425429,True,
2026-05-14T17:13:00.563471+00:00,CHRW,BUY,7,161.35,1129.45,False,Filled,1307,,1.0,2.0,0.112945,0.22589,0.338835,True,
2026-05-14T17:13:00.563471+00:00,CHTR,SELL,5,149.2,746.0,False,Filled,1310,,1.0,2.0,0.0746,0.1492,0.2238,True,
2026-05-14T17:13:00.563471+00:00,CLBT,SELL,61,12.64,771.0400000000001,False,Filled,1313,,1.0,2.0,0.077104,0.154208,0.23131200000000002,True,
2026-05-14T17:13:00.563471+00:00,CLFD,BUY,116,40.91,4745.5599999999995,False,Filled,1316,,1.0,2.0,0.4745559999999999,0.9491119999999998,1.4236679999999997,True,
2026-05-14T17:13:00.563471+00:00,CLMT,BUY,126,31.51,3970.26,False,Submitted,1319,,1.0,2.0,0.39702600000000005,0.7940520000000001,1.191078,True,
2026-05-14T17:13:00.563471+00:00,CLNN,SELL,166,6.45,1070.7,False,Submitted,1322,,1.0,2.0,0.10707,0.21414,0.32121,True,
2026-05-14T17:13:00.563471+00:00,CLPT,SELL,193,12.82,2474.26,False,Filled,1325,,1.0,2.0,0.24742600000000003,0.49485200000000007,0.7422780000000001,True,
2026-05-14T17:13:00.563471+00:00,CMPX,BUY,1565,1.99,3114.35,False,Submitted,1328,,1.0,2.0,0.311435,0.62287,0.934305,True,
2026-05-14T17:13:00.563471+00:00,COAG,BUY,18,29.01,522.1800000000001,False,Filled,1331,,1.0,2.0,0.05221800000000001,0.10443600000000001,0.15665400000000002,True,
2026-05-14T17:13:00.563471+00:00,COCO,BUY,61,76.99,4696.389999999999,False,Filled,1334,,1.0,2.0,0.4696389999999999,0.9392779999999998,1.4089169999999998,True,
2026-05-14T17:13:00.563471+00:00,COLA,SELL,134,10.99,1472.66,False,Submitted,1337,,1.0,2.0,0.147266,0.294532,0.441798,True,
2026-05-14T17:13:00.563471+00:00,COLB,SELL,26,29.11,756.86,False,Filled,1340,,1.0,2.0,0.075686,0.151372,0.227058,True,
2026-05-14T17:13:00.563471+00:00,COLL,SELL,68,34.99,2379.32,False,Filled,1343,,1.0,2.0,0.237932,0.475864,0.713796,True,
2026-05-14T17:13:00.563471+00:00,COLM,SELL,41,57.85,2371.85,False,Filled,1346,,1.0,2.0,0.23718499999999998,0.47436999999999996,0.7115549999999999,True,
2026-05-14T17:13:00.563471+00:00,COYA,BUY,110,4.92,541.2,False,Submitted,1349,,1.0,2.0,0.05412,0.10824,0.16236,True,
2026-05-14T17:13:00.563471+00:00,CPSH,BUY,574,4.96,2847.04,False,Filled,1352,,1.0,2.0,0.284704,0.569408,0.854112,True,
2026-05-14T17:13:00.563471+00:00,CRAC,BUY,243,10.09,2451.87,False,Filled,1355,,1.0,2.0,0.245187,0.490374,0.7355609999999999,True,
2026-05-14T17:13:00.563471+00:00,CRDO,BUY,25,186.97,4674.25,False,Filled,1358,,1.0,2.0,0.467425,0.93485,1.402275,True,
2026-05-14T17:13:00.563471+00:00,CRMD,SELL,95,8.15,774.25,False,Submitted,1361,,1.0,2.0,0.077425,0.15485,0.23227499999999998,True,
2026-05-14T17:13:00.563471+00:00,CRML,BUY,91,11.77,1071.07,False,Filled,1364,,1.0,2.0,0.107107,0.214214,0.32132099999999997,True,
2026-05-14T17:13:00.563471+00:00,CRWD,BUY,6,580.65,3483.8999999999996,False,Filled,1367,,1.0,2.0,0.34839,0.69678,1.04517,True,
2026-05-14T17:13:00.563471+00:00,CSCO,SELL,6,115.46,692.76,False,Submitted,1370,,1.0,2.0,0.069276,0.138552,0.207828,True,
2026-05-14T17:13:00.563471+00:00,CSGS,BUY,5,80.71,403.54999999999995,False,Submitted,1373,,1.0,2.0,0.040354999999999995,0.08070999999999999,0.12106499999999998,True,
2026-05-14T17:13:00.563471+00:00,CTSH,SELL,9,45.8,412.2,False,Filled,1376,,1.0,2.0,0.04122,0.08244,0.12365999999999999,True,
2026-05-14T17:13:00.563471+00:00,CUE,SELL,79,26.54,2096.66,False,Filled,1379,,1.0,2.0,0.209666,0.419332,0.628998,True,
2026-05-14T17:13:00.563471+00:00,CVGI,BUY,162,5.67,918.54,False,Filled,1382,,1.0,2.0,0.09185399999999999,0.18370799999999998,0.275562,True,
2026-05-14T17:13:00.563471+00:00,CVRX,SELL,875,5.43,4751.25,False,Filled,1385,,1.0,2.0,0.475125,0.95025,1.425375,True,
2026-05-14T17:13:00.563471+00:00,CVV,SELL,67,7.3,489.09999999999997,False,Submitted,1388,,1.0,2.0,0.048909999999999995,0.09781999999999999,0.14672999999999997,True,
2026-05-14T17:13:00.563471+00:00,CXDO,SELL,51,9.74,496.74,False,Filled,1391,,1.0,2.0,0.049674,0.099348,0.14902200000000002,True,
2026-05-14T17:13:00.563471+00:00,DARE,BUY,1113,2.98,3316.74,False,Submitted,1394,,1.0,2.0,0.33167399999999997,0.6633479999999999,0.9950219999999999,True,
