ticker,side,quantity,limit_price,notional,ok,reason,timestamp
QUBT,BUY,1305,11.5463,15067.9215,True,,2026-05-12T18:43:55.904000
RELY,SELL,485,24.1302,11703.146999999999,True,,2026-05-12T18:43:55.904000
REPL,BUY,43,3.9808,171.1744,True,,2026-05-12T18:43:55.904000
SITM,BUY,3,819.954,2459.862,True,,2026-05-12T18:43:55.904000
TDIC,SELL,5532,2.1197,11726.1804,True,,2026-05-12T18:43:55.904000
TIGO,SELL,144,81.2837,11704.852799999999,True,,2026-05-12T18:43:55.904000
WOK,SELL,2833,4.1392,11726.353599999999,True,,2026-05-12T18:43:55.904000
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T18:43:55.904000
AIRS,SELL,790,3.9492,3119.868,True,,2026-05-12T18:49:50.835350
BWEN,SELL,40,3.2293,129.172,True,,2026-05-12T18:49:50.835350
CDW,BUY,5,98.7698,493.84900000000005,True,,2026-05-12T18:49:50.835350
CSGP,SELL,362,32.5785,11793.417,True,,2026-05-12T18:49:50.835350
FIGR,BUY,392,38.4477,15071.498399999999,True,,2026-05-12T18:49:50.835350
FLNC,BUY,9,21.6343,194.7087,True,,2026-05-12T18:49:50.835350
HNRG,BUY,2211,19.6489,43443.7179,False,size_or_price_limit,2026-05-12T18:49:50.835350
OKTA,SELL,150,78.6593,11798.895,True,,2026-05-12T18:49:50.835350
PENG,BUY,248,41.8884,10388.323199999999,True,,2026-05-12T18:49:50.835350
PSIX,BUY,392,37.6575,14761.74,True,,2026-05-12T18:49:50.835350
QUBT,BUY,1306,11.5463,15079.4678,True,,2026-05-12T18:49:50.835350
RELY,SELL,489,24.1302,11799.6678,True,,2026-05-12T18:49:50.835350
REPL,BUY,40,3.9808,159.232,True,,2026-05-12T18:49:50.835350
SITM,SELL,1,819.626,819.626,True,,2026-05-12T18:49:50.835350
TDIC,SELL,5568,2.1197,11802.489599999999,True,,2026-05-12T18:49:50.835350
TIGO,SELL,145,81.2837,11786.136499999999,True,,2026-05-12T18:49:50.835350
WOK,SELL,2851,4.1392,11800.859199999999,True,,2026-05-12T18:49:50.835350
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T18:49:50.835350
AIRS,SELL,749,3.9492,2957.9508,True,,2026-05-12T18:55:34.843898
CDW,SELL,5,98.7302,493.65099999999995,True,,2026-05-12T18:55:34.843898
CSGP,SELL,340,32.5785,11076.689999999999,True,,2026-05-12T18:55:34.843898
FIGR,BUY,366,38.4477,14071.858199999999,True,,2026-05-12T18:55:34.843898
FLNC,BUY,7,21.6343,151.4401,True,,2026-05-12T18:55:34.843898
HNRG,BUY,2210,19.6489,43424.069,False,size_or_price_limit,2026-05-12T18:55:34.843898
OKTA,SELL,140,78.6593,11012.302,True,,2026-05-12T18:55:34.843898
PENG,BUY,232,41.8884,9718.1088,True,,2026-05-12T18:55:34.843898
PSIX,SELL,643,37.6425,24204.1275,False,size_or_price_limit,2026-05-12T18:55:34.843898
QUBT,BUY,1220,11.5463,14086.486,True,,2026-05-12T18:55:34.843898
RELY,SELL,459,24.1302,11075.7618,True,,2026-05-12T18:55:34.843898
REPL,BUY,27,3.9808,107.4816,True,,2026-05-12T18:55:34.843898
SITM,SELL,3,819.626,2458.8779999999997,True,,2026-05-12T18:55:34.843898
TDIC,SELL,5231,2.1197,11088.1507,True,,2026-05-12T18:55:34.843898
TIGO,SELL,136,81.2837,11054.5832,True,,2026-05-12T18:55:34.843898
WOK,SELL,2678,4.1392,11084.7776,True,,2026-05-12T18:55:34.843898
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T18:55:34.843898
AIRS,SELL,751,3.9492,2965.8491999999997,True,,2026-05-12T19:01:12.092274
CDW,SELL,5,98.7302,493.65099999999995,True,,2026-05-12T19:01:12.092274
CSGP,SELL,340,32.5785,11076.689999999999,True,,2026-05-12T19:01:12.092274
FIGR,BUY,367,38.4477,14110.3059,True,,2026-05-12T19:01:12.092274
FLNC,BUY,8,21.6343,173.0744,True,,2026-05-12T19:01:12.092274
HNRG,BUY,2211,19.6489,43443.7179,False,size_or_price_limit,2026-05-12T19:01:12.092274
OKTA,SELL,141,78.6593,11090.9613,True,,2026-05-12T19:01:12.092274
PENG,BUY,233,41.8884,9759.9972,True,,2026-05-12T19:01:12.092274
PSIX,SELL,644,37.6425,24241.77,False,size_or_price_limit,2026-05-12T19:01:12.092274
QUBT,BUY,1222,11.5463,14109.5786,True,,2026-05-12T19:01:12.092274
RELY,SELL,460,24.1302,11099.892,True,,2026-05-12T19:01:12.092274
SITM,SELL,3,819.626,2458.8779999999997,True,,2026-05-12T19:01:12.092274
TDIC,SELL,5239,2.1197,11105.1083,True,,2026-05-12T19:01:12.092274
TIGO,SELL,136,81.2837,11054.5832,True,,2026-05-12T19:01:12.092274
WOK,SELL,2683,4.1392,11105.4736,True,,2026-05-12T19:01:12.092274
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:01:12.092274
AIRS,SELL,543,3.9492,2144.4156,True,,2026-05-12T19:06:42.439644
ALGM,SELL,14,44.4111,621.7554,True,,2026-05-12T19:06:42.439644
BWEN,SELL,202,3.2293,652.3186,True,,2026-05-12T19:06:42.439644
CDW,SELL,4,98.7302,394.9208,True,,2026-05-12T19:06:42.439644
CSGP,SELL,265,32.5785,8633.3025,True,,2026-05-12T19:06:42.439644
FIGR,BUY,265,38.4477,10188.6405,True,,2026-05-12T19:06:42.439644
FLNC,SELL,23,21.6257,497.39109999999994,True,,2026-05-12T19:06:42.439644
HNRG,BUY,2211,19.6489,43443.7179,False,size_or_price_limit,2026-05-12T19:06:42.439644
MNST,SELL,8,85.6529,685.2232,True,,2026-05-12T19:06:42.439644
OKTA,SELL,110,78.6593,8652.523000000001,True,,2026-05-12T19:06:42.439644
PENG,BUY,168,41.8884,7037.2512,True,,2026-05-12T19:06:42.439644
PSIX,SELL,679,37.6425,25559.2575,False,size_or_price_limit,2026-05-12T19:06:42.439644
QUBT,SELL,11116,11.5417,128297.5372,False,size_or_price_limit,2026-05-12T19:06:42.439644
RELY,SELL,358,24.1302,8638.6116,True,,2026-05-12T19:06:42.439644
TDIC,SELL,4082,2.1197,8652.615399999999,True,,2026-05-12T19:06:42.439644
TIGO,SELL,106,81.2837,8616.072199999999,True,,2026-05-12T19:06:42.439644
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:06:42.439644
AIRS,SELL,428,3.9492,1690.2576,True,,2026-05-12T19:12:14.426261
ALGM,BUY,148,44.4289,6575.477199999999,True,,2026-05-12T19:12:14.426261
BWEN,SELL,257,3.2293,829.9300999999999,True,,2026-05-12T19:12:14.426261
CDW,SELL,3,98.7302,296.1906,True,,2026-05-12T19:12:14.426261
CSGP,BUY,3404,32.5915,110941.46600000001,False,size_or_price_limit,2026-05-12T19:12:14.426261
FIGR,BUY,209,38.4477,8035.569299999999,True,,2026-05-12T19:12:14.426261
FLNC,SELL,44,21.6257,951.5307999999999,True,,2026-05-12T19:12:14.426261
HNRG,BUY,1702,19.6489,33442.427800000005,False,size_or_price_limit,2026-05-12T19:12:14.426261
MNST,SELL,13,85.6529,1113.4877000000001,True,,2026-05-12T19:12:14.426261
OKTA,SELL,93,78.6593,7315.3149,True,,2026-05-12T19:12:14.426261
PENG,BUY,133,41.8884,5571.1572,True,,2026-05-12T19:12:14.426261
PSIX,SELL,550,37.6425,20703.375,True,,2026-05-12T19:12:14.426261
QUBT,SELL,11114,11.5417,128274.4538,False,size_or_price_limit,2026-05-12T19:12:14.426261
RELY,SELL,306,24.1302,7383.8412,True,,2026-05-12T19:12:14.426261
TDIC,SELL,3485,2.1197,7387.1545,True,,2026-05-12T19:12:14.426261
TIGO,SELL,90,81.2837,7315.532999999999,True,,2026-05-12T19:12:14.426261
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:12:14.426261
AIRS,BUY,2157,3.9508,8521.8756,True,,2026-05-12T19:17:44.043761
ALGM,BUY,144,44.4289,6397.7616,True,,2026-05-12T19:17:44.043761
BWEN,SELL,154,3.2293,497.31219999999996,True,,2026-05-12T19:17:44.043761
CDW,SELL,3,98.7302,296.1906,True,,2026-05-12T19:17:44.043761
CSGP,BUY,3404,32.5915,110941.46600000001,False,size_or_price_limit,2026-05-12T19:17:44.043761
FIGR,BUY,203,38.4477,7804.883099999999,True,,2026-05-12T19:17:44.043761
FLNC,SELL,35,21.6257,756.8995,True,,2026-05-12T19:17:44.043761
HNRG,BUY,1702,19.6489,33442.427800000005,False,size_or_price_limit,2026-05-12T19:17:44.043761
MNST,SELL,12,85.6529,1027.8348,True,,2026-05-12T19:17:44.043761
OKTA,SELL,91,78.6593,7157.9963,True,,2026-05-12T19:17:44.043761
PENG,BUY,129,41.8884,5403.6035999999995,True,,2026-05-12T19:17:44.043761
PSIX,SELL,533,37.6425,20063.4525,True,,2026-05-12T19:17:44.043761
QUBT,SELL,11112,11.5417,128251.3704,False,size_or_price_limit,2026-05-12T19:17:44.043761
RELY,SELL,297,24.1302,7166.6694,True,,2026-05-12T19:17:44.043761
TDIC,SELL,3381,2.1197,7166.7056999999995,True,,2026-05-12T19:17:44.043761
TIGO,SELL,88,81.2837,7152.9655999999995,True,,2026-05-12T19:17:44.043761
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:17:44.043761
AIRS,BUY,1819,3.9508,7186.5052000000005,True,,2026-05-12T19:23:16.490180
ALGM,BUY,121,44.4289,5375.8969,True,,2026-05-12T19:23:16.490180
BWEN,SELL,130,3.2293,419.80899999999997,True,,2026-05-12T19:23:16.490180
CDW,SELL,3,98.7302,296.1906,True,,2026-05-12T19:23:16.490180
CSGP,BUY,3403,32.5915,110908.8745,False,size_or_price_limit,2026-05-12T19:23:16.490180
FIGR,BUY,171,38.4477,6574.556699999999,True,,2026-05-12T19:23:16.490180
FLNC,SELL,15,21.6257,324.3855,True,,2026-05-12T19:23:16.490180
HNRG,BUY,1701,19.6489,33422.778900000005,False,size_or_price_limit,2026-05-12T19:23:16.490180
MNST,SELL,10,85.6529,856.529,True,,2026-05-12T19:23:16.490180
OKTA,SELL,76,78.6593,5978.1068000000005,True,,2026-05-12T19:23:16.490180
PENG,BUY,109,41.8884,4565.835599999999,True,,2026-05-12T19:23:16.490180
PSIX,SELL,450,37.6425,16939.125,True,,2026-05-12T19:23:16.490180
QUBT,SELL,11112,11.5417,128251.3704,False,size_or_price_limit,2026-05-12T19:23:16.490180
