signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown,equity,cumulative_return,peak_equity,transaction_cost_existing_half_turnover,transaction_cost_full_traded_notional,portfolio_return_full_cost,equity_full_cost,cumulative_return_full_cost
2025-04-23,2025-04-24,-0.00073463072546,-0.0005953450111743,0.0001392857142857,0.0,0.4642857142857143,1.0,-1.734723475976807e-18,0.5,-0.5,112,112,1.0,1.0,1.0,1.0,0.2225204822239728,0.0142251391532496,-0.0213393788867645,3.478847962832909,2.478847962832909,3.554703119530535,0.0001392857142857,0.00027857142857142854,-0.0008739164397457285,3.3204386977273703,2.3204386977273703
2025-04-24,2025-04-25,0.0013148453561509,0.0014608274990081,0.0001459821428571,0.0,0.4866071428571427,1.0,0.0,0.4999999999999999,-0.5,108,108,1.0,1.0,1.0,1.0,0.2163469366422944,0.0142251391532496,-0.0200525915138459,3.4834221099215954,2.4834221099215954,3.554703119530535,0.0001459821428571,0.0002919642857142856,0.0011688632132938145,3.324319836373141,2.324319836373141
2025-04-25,2025-04-28,0.0044067682379579,0.0045526015712912,0.0001458333333333,0.0,0.4861111111111111,1.0,-1.3877787807814457e-17,0.5,-0.5,101,101,1.0,1.0,1.0,1.0,0.2162090687580804,0.0142251391532496,-0.0157341903992598,3.4987727438349987,2.4987727438349987,3.554703119530535,0.0001458333333333,0.00029166666666666664,0.004260934904624533,3.338484546798079,2.338484546798079
2025-04-28,2025-04-29,0.0110908173192569,0.011239332170742,0.0001485148514851,0.0,0.4950495049504951,1.0,6.938893903907228e-18,0.5000000000000001,-0.5,99,99,1.0,1.0,1.0,1.0,0.2081764388239933,0.0142251391532496,-0.0048178781113875,3.537576993178468,2.537576993178468,3.554703119530535,0.0001485148514851,0.0002970297029702971,0.010942302467771703,3.3750152544931256,2.3750152544931256
2025-04-29,2025-04-30,0.0060748280304136,0.0062263431819287,0.0001515151515151,0.0,0.505050505050505,1.0,-6.938893903907228e-18,0.5,-0.5,92,92,1.0,1.0,1.0,1.0,0.2099205519002545,0.0142251391532496,0.0,3.559067165056375,2.559067165056375,3.559067165056375,0.0001515151515151,0.000303030303030303,0.005923312878898397,3.3950065258165436,2.3950065258165436
2025-04-30,2025-05-01,0.0061379070899318,0.0062927983942796,0.0001548913043478,0.0,0.516304347826087,1.0,1.5612511283791264e-17,0.5,-0.5,90,90,1.0,1.0,1.0,1.0,0.2028564453583731,0.0142251391532496,0.0,3.5809123886423184,2.5809123886423184,3.5809123886423184,0.0001548913043478,0.00030978260869565224,0.005983015785583948,3.4153189034526648,2.4153189034526648
2025-05-01,2025-05-02,0.0072617062598229,0.0074100758250402,0.0001483695652173,0.0,0.4945652173913044,1.0,-3.469446951953614e-18,0.5,-0.5,92,92,1.0,1.0,1.0,1.0,0.2025137300513273,0.0142251391532496,0.0,3.606915922550799,2.606915922550799,3.606915922550799,0.0001483695652173,0.0002967391304347826,0.007113336694605417,3.4396132167323743,2.4396132167323743
2025-05-02,2025-05-05,0.0001701858314848,0.0003378328903084,0.0001676470588235,0.0,0.5588235294117647,1.0,0.0,0.5,-0.5,102,102,1.0,1.0,1.0,1.0,0.193497558851778,0.0142251391532496,0.0,3.607529768536175,2.6075297685361747,3.607529768536175,0.0001676470588235,0.00033529411764705885,2.538772661341167e-06,3.439621949128375,2.439621949128375
2025-05-05,2025-05-06,0.0034802909357121,0.0036332321121827,0.0001529411764705,0.0,0.5098039215686274,1.0,-3.469446951953614e-18,0.5,-0.4999999999999999,97,97,1.0,1.0,1.0,1.0,0.1897989201809001,0.0142251391532496,0.0,3.6200850216899223,2.6200850216899227,3.6200850216899223,0.0001529411764705,0.00030588235294117644,0.0033273497592415232,3.4510667743926886,2.4510667743926886
2025-05-06,2025-05-07,0.0085672465560565,0.0087265249065719,0.0001592783505154,0.0,0.5309278350515464,1.0,6.938893903907228e-18,0.5,-0.5,88,88,1.0,1.0,1.0,1.0,0.1837157889711143,0.0142251391532496,0.0,3.6510991826246273,2.6510991826246277,3.6510991826246273,0.0001592783505154,0.00031855670103092786,0.008407968205540973,3.480083234106981,2.480083234106981
2025-05-07,2025-05-08,0.0047448842689545,0.0048848842689545,0.00014,0.0,0.4666666666666667,1.0,-3.469446951953614e-18,0.5,-0.5,90,90,1.0,1.0,1.0,1.0,0.1145211923341182,0.0142251391532496,0.0,3.668423225700656,2.668423225700656,3.668423225700656,0.00014,0.00028,0.0046048842689545,3.496108614646373,2.496108614646373
2025-05-08,2025-05-09,0.004263004193797,0.004428004193797,0.000165,0.0,0.55,1.0,0.0,0.5,-0.5,83,83,1.0,1.0,1.0,1.0,0.1074106747320318,0.0142251391532496,0.0,3.68406172929644,2.68406172929644,3.68406172929644,0.000165,0.00033000000000000005,0.004098004193797,3.5104356824111638,2.5104356824111638
2025-05-09,2025-05-12,0.0162604888209578,0.0163797659293915,0.0001192771084337,0.0,0.3975903614457831,1.0,-6.938893903907228e-18,0.5,-0.5,78,78,1.0,1.0,1.0,1.0,0.1003672480914778,0.0142251391532496,0.0,3.743966373861384,2.7439663738613835,3.743966373861384,0.0001192771084337,0.00023855421686746982,0.01614121171252403,3.5670983679641615,2.5670983679641615
2025-05-12,2025-05-13,0.0195601281925304,0.0197101281925304,0.00015,0.0,0.5,1.0,0.0,0.5,-0.5,92,92,1.0,1.0,1.0,1.0,0.1024375721426162,0.0142251391532496,0.0,3.817198836082635,2.8171988360826354,3.817198836082635,0.00015,0.0003,0.0194101281925304,3.6363362045617116,2.6363362045617116
2025-05-13,2025-05-14,0.013068574921897,0.0131948907113707,0.0001263157894736,0.0,0.4210526315789473,1.0,-3.469446951953614e-18,0.5,-0.5,95,95,1.0,1.0,1.0,1.0,0.1157132353548642,0.0142251391532496,0.0,3.86708418506376,2.86708418506376,3.86708418506376,0.0001263157894736,0.00025263157894736836,0.01294225913242333,3.6833986100137617,2.6833986100137617
2025-05-14,2025-05-15,0.0061712534088646,0.0062731951564374,0.0001019417475728,0.0,0.3398058252427184,1.0,-6.938893903907228e-18,0.5,-0.5,103,103,1.0,1.0,1.0,1.0,0.1187914051429502,0.0142251391532496,0.0,3.890948941523201,2.890948941523201,3.890948941523201,0.0001019417475728,0.00020388349514563107,0.006069311661291769,3.705754304150704,2.705754304150704
2025-05-15,2025-05-16,-0.0030519801438301,-0.0029365955284455,0.0001153846153846,0.0,0.3846153846153846,1.0,0.0,0.5,-0.5,104,104,1.0,1.0,1.0,1.0,0.1189297470293251,0.0142251391532496,-0.0030519801438301,3.879073842613016,2.879073842613016,3.890948941523201,0.0001153846153846,0.00023076923076923074,-0.003167364759214731,3.6940168285614288,2.6940168285614288
2025-05-16,2025-05-19,0.0040517712923917,0.0041646284352488,0.0001128571428571,0.0,0.3761904761904762,1.0,-6.938893903907228e-18,0.5,-0.5,105,105,1.0,1.0,1.0,1.0,0.120766361377476,0.0142251391532496,0.0,3.894790962649583,2.8947909626495827,3.894790962649583,0.0001128571428571,0.00022571428571428571,0.003938914149534514,3.708567243716068,2.708567243716068
2025-05-19,2025-05-20,-0.0069657546659407,-0.0068671832373693,9.857142857142858e-05,0.0,0.3285714285714286,1.0,0.0,0.5,-0.4999999999999999,104,104,1.0,1.0,1.0,1.0,0.1175418811994701,0.0142251391532496,-0.0069657546659407,3.8676608043286422,2.8676608043286427,3.894790962649583,9.857142857142858e-05,0.00019714285714285718,-0.007064326094512158,3.682368715363032,2.682368715363032
2025-05-20,2025-05-21,-0.0048438850053817,-0.0047371542361509,0.0001067307692307,0.0,0.3557692307692308,1.0,-6.938893903907228e-18,0.5,-0.5,100,100,1.0,1.0,1.0,1.0,0.103343040954813,0.0142251391532496,-0.0117758983567449,3.848926300152652,2.848926300152652,3.894790962649583,0.0001067307692307,0.00021346153846153845,-0.004950615774612439,3.664138722712816,2.664138722712816
2025-05-21,2025-05-22,0.0014779972098502,0.0015934972098502,0.0001154999999999,0.0,0.385,1.0,-2.775557561562892e-17,0.4999999999999999,-0.5,96,96,1.0,1.0,1.0,1.0,0.1056443506663304,0.0142251391532496,-0.0103153058918095,3.854615002485197,2.854615002485197,3.894790962649583,0.0001154999999999,0.000231,0.0013624972098502,3.669131101499017,2.669131101499017
2025-05-22,2025-05-23,0.0267060028704397,0.0268341278704397,0.0001281249999999,0.0,0.4270833333333333,1.0,0.0,0.5,-0.4999999999999999,89,89,1.0,1.0,1.0,1.0,0.104320730800834,0.0142251391532496,0.0,3.957556361806007,2.957556361806007,3.957556361806007,0.0001281249999999,0.00025625,0.0265778778704397,3.76664881980529,2.76664881980529
2025-05-23,2025-05-27,0.004612916400743,0.0047646017940014,0.0001516853932584,0.0,0.5056179775280899,1.0,0.0,0.5,-0.5,82,82,1.0,1.0,1.0,1.0,0.1281208286255563,0.0142251391532496,0.0,3.975812238454247,2.975812238454247,3.975812238454247,0.0001516853932584,0.00030337078651685394,0.0044612310074845455,3.7834527103145104,2.7834527103145104
2025-05-27,2025-05-28,0.0129226066615265,0.013051917006354,0.0001293103448275,0.0,0.4310344827586206,1.0,1.3877787807814457e-17,0.5,-0.5,87,87,1.0,1.0,1.0,1.0,0.1280797003235332,0.0142251391532496,0.0,4.027190096171874,3.027190096171874,4.027190096171874,0.0001293103448275,0.00025862068965517237,0.012793296316698828,3.831855541937781,2.831855541937781
