signal_date,execution_date,portfolio_return,gross_return_before_cost,transaction_cost,turnover_penalty,turnover,traded_notional,requested_gross_exposure,filled_gross_exposure_before_risk,gross_exposure,net_exposure,long_exposure,short_exposure,number_long,number_short,equity,cumulative_return,peak_equity,drawdown,risk_scale,vol_scale,var_scale,drawdown_scale,rolling_volatility_annual,rolling_daily_var,drawdown_control
2024-09-16,2024-09-17,-0.003188649344680303,-0.002970796253358692,0.0002178530913216109,0.0,0.3630884855360182,0.7261769710720364,1.0,0.994186046511628,0.994186046511628,-0.005813953488372096,0.4941860465116279,-0.5,85,86,0.6985670355880401,-0.3014329644119599,1.0039717386940912,-0.3041965140406282,1.0,1.0,1.0,1.0,0.07569962918254741,0.010174780046191588,0.3019707435093517
2024-09-17,2024-09-18,0.004574270665920472,0.004818271160725023,0.00024400049480455214,0.0,0.4066674913409203,0.8133349826818406,1.0,1.0,1.0,0.0,0.5,-0.49999999999999994,94,94,0.7017624702871095,-0.2982375297128905,1.0039717386940912,-0.3010137205655591,1.0,1.0,1.0,1.0,0.07643649622308278,0.010174780046191588,0.3041965140406282
2024-09-18,2024-09-19,0.002460079924492804,0.0027199809145918136,0.00025990099009900986,0.0,0.4331683168316831,0.8663366336633662,1.0,0.995049504950495,0.995049504950495,0.004950495049504955,0.5,-0.4950495049504951,101,100,0.7034888620520252,-0.2965111379479748,1.0039717386940912,-0.29929415845202656,1.0,1.0,1.0,1.0,0.07663350325869438,0.010174780046191588,0.3010137205655591
2024-09-19,2024-09-20,0.008614766624764484,0.008869163829190809,0.000254397204426325,0.0,0.4239953407105417,0.8479906814210834,1.0,0.9901960784313726,0.9901960784313726,-6.938893903907228e-18,0.4950980392156863,-0.4950980392156863,101,101,0.7095492544217246,-0.29045074557827544,1.0039717386940912,-0.29325774115448155,1.0,1.0,1.0,1.0,0.06303992158865028,0.010174780046191588,0.29929415845202656
2024-09-20,2024-09-23,-0.0036878565727394208,-0.003398979567391827,0.00028887700534759356,0.0,0.4814616755793226,0.9629233511586452,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.49999999999999994,110,110,0.7069325385401231,-0.29306746145987694,1.0039717386940912,-0.29586410523899775,1.0,1.0,1.0,1.0,0.06805805708545497,0.010174780046191588,0.29325774115448155
2024-09-23,2024-09-24,-0.0014441359937386647,-0.0011588681365958075,0.0002852678571428571,0.0,0.47544642857142855,0.9508928571428571,0.9999999999999999,0.9955357142857142,0.9955357142857142,0.004464285714285719,0.49999999999999994,-0.49553571428571425,112,111,0.7059116318160722,-0.2940883681839278,1.0039717386940912,-0.29688097322910545,1.0,1.0,1.0,1.0,0.06808752463139692,0.010174780046191588,0.29586410523899775
2024-09-24,2024-09-25,0.0009393407679265282,0.0012138943393550997,0.00027455357142857137,0.0,0.4575892857142857,0.9151785714285714,1.0,1.0,1.0,0.0,0.49999999999999994,-0.5,111,111,0.7065747233903906,-0.2934252766096094,1.0039717386940912,-0.2962205048625547,1.0,1.0,1.0,1.0,0.06803149761733067,0.010174780046191588,0.29688097322910545
2024-09-25,2024-09-26,-0.008074576927781666,-0.0078111009518056895,0.0002634759759759759,0.0,0.4391266266266266,0.8782532532532532,1.0,0.9953703703703703,0.9953703703703703,0.0046296296296296224,0.49999999999999994,-0.49537037037037035,108,107,0.7008694314311489,-0.2991305685688511,1.0039717386940912,-0.30190322653623736,1.0,1.0,1.0,1.0,0.0661398304283772,0.010174780046191588,0.2962205048625547
2024-09-26,2024-09-27,-0.0008894209829337389,-0.0005937801688523307,0.00029564081408140814,0.0,0.4927346901356803,0.9854693802713606,1.0,0.9900990099009902,0.9900990099009902,0.009900990099009896,0.5,-0.4900990099009901,101,99,0.7002460634525371,-0.29975393654746285,1.0039717386940912,-0.30252412845467436,1.0,1.0,1.0,1.0,0.07274514462315335,0.010174780046191588,0.30190322653623736
2024-09-27,2024-09-30,0.008687389138209793,0.008987389138209793,0.0003,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,-0.5,87,87,0.7063293734982489,-0.29367062650175113,1.0039717386940912,-0.29646488414404815,1.0,1.0,1.0,1.0,0.07131199389351368,0.010174780046191588,0.30252412845467436
2024-09-30,2024-10-01,0.003885292657779662,0.004230120243986559,0.0003448275862068965,0.0,0.5747126436781609,1.1494252873563218,1.0,1.0,1.0,0.0,0.5,-0.5,71,71,0.7090736698270758,-0.29092633017292424,1.0039717386940912,-0.29373144432392284,1.0,1.0,1.0,1.0,0.07488337814393174,0.010174780046191588,0.29646488414404815
2024-10-01,2024-10-02,-0.019640620033176508,-0.019351334318890794,0.00028928571428571425,0.0,0.48214285714285715,0.9642857142857143,1.0,0.9880952380952381,0.9880952380952381,0.011904761904761904,0.5,-0.488095238095238,84,82,0.6951470233024721,-0.30485297669752787,1.0039717386940912,-0.30760299666733704,1.0,1.0,1.0,1.0,0.07589574493488264,0.009732592824624497,0.29373144432392284
2024-10-02,2024-10-03,0.011487806609952517,0.011789503038523946,0.00030169642857142857,0.0,0.502827380952381,1.005654761904762,1.0,0.9937500000000001,0.9937500000000001,-0.006250000000000002,0.49375,-0.5,79,80,0.703132737871655,-0.296867262128345,1.0039717386940912,-0.2996488737957408,1.0,1.0,1.0,1.0,0.1037121140940321,0.01023535721797059,0.30760299666733704
2024-10-03,2024-10-04,-0.018596550292989976,-0.018268425292989977,0.00032812499999999997,0.0,0.546875,1.09375,1.0,1.0,1.0,-3.469446951953614e-18,0.5,-0.5,77,77,0.690056894549177,-0.30994310545082304,1.0039717386940912,-0.3126729887369505,1.0,1.0,1.0,1.0,0.10919583878269375,0.01023535721797059,0.2996488737957408
2024-10-04,2024-10-07,0.0006882659246368721,0.0010393648257357732,0.0003510989010989011,0.0,0.5851648351648352,1.1703296703296704,1.0,0.9945054945054945,0.9945054945054945,0.005494505494505506,0.5,-0.4945054945054945,91,90,0.6905318371957558,-0.30946816280424416,1.0039717386940912,-0.3121999249760158,1.0,1.0,1.0,1.0,0.12742910714473435,0.011780291142076564,0.3126729887369505
2024-10-07,2024-10-08,0.008504871468367002,0.008855563369058902,0.0003506919006919006,0.0,0.5844865011531677,1.1689730023063354,1.0,0.9876543209876543,0.9876543209876543,0.012345679012345678,0.5,-0.48765432098765427,81,79,0.6964047217159212,-0.30359527828407884,1.0039717386940912,-0.3063502737420035,1.0,1.0,1.0,1.0,0.12756533813812518,0.011780291142076564,0.3121999249760158
2024-10-08,2024-10-09,0.003117771427681386,0.0034974010573110156,0.0003796296296296296,0.0,0.6327160493827161,1.2654320987654322,0.9999999999999998,0.9949494949494948,0.9949494949494948,0.005050505050505055,0.49999999999999994,-0.4949494949494949,99,98,0.6985759524593894,-0.3014240475406106,1.0039717386940912,-0.3041876324446573,1.0,1.0,1.0,1.0,0.1314570009907652,0.011780291142076564,0.3063502737420035
2024-10-09,2024-10-10,-0.0013235355996154738,-0.0010046624016160624,0.0003188731979994115,0.0,0.5314553299990192,1.0629106599980385,1.0,1.0,1.0,0.0,0.5,-0.5,103,103,0.6976513623172741,-0.3023486376827259,1.0039717386940912,-0.3051085648837696,1.0,1.0,1.0,1.0,0.13135872757239345,0.011780291142076564,0.3041876324446573
2024-10-10,2024-10-11,-0.023804433209146943,-0.023501655431369166,0.0003027777777777777,0.0,0.5046296296296295,1.009259259259259,1.0,1.0,1.0,0.0,0.49999999999999994,-0.5,108,108,0.6810441670597221,-0.31895583294027785,1.0039717386940912,-0.3216500616386022,1.0,1.0,1.0,1.0,0.13143860592270973,0.011780291142076564,0.3051085648837696
2024-10-11,2024-10-14,0.001752206034460567,0.002088317145571678,0.00033611111111111103,0.0,0.5601851851851851,1.1203703703703702,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,106,106,0.6822374967589784,-0.3177625032410216,1.0039717386940912,-0.3204614527831293,1.0,1.0,1.0,1.0,0.15571424831876518,0.0186487537799993,0.3216500616386022
2024-10-14,2024-10-15,0.0026370694982781385,0.002985182705825308,0.0003481132075471698,0.0,0.5801886792452831,1.1603773584905661,1.0,1.0,1.0,2.7755575615628914e-17,0.5000000000000001,-0.5,106,106,0.6840366044522632,-0.3159633955477368,1.0039717386940912,-0.3186694624073594,1.0,1.0,1.0,1.0,0.15314880245139775,0.0186487537799993,0.3204614527831293
2024-10-15,2024-10-16,-0.0032102456391923198,-0.002915750226348283,0.00029449541284403666,0.0,0.49082568807339444,0.9816513761467889,1.0,1.0,1.0,0.0,0.5,-0.5,109,109,0.6818406789257724,-0.3181593210742276,1.0039717386940912,-0.3208567007945148,1.0,1.0,1.0,1.0,0.15358985544548445,0.0186487537799993,0.3186694624073594
2024-10-16,2024-10-17,-0.011499867854275888,-0.011139317395560292,0.0003605504587155963,0.0,0.6009174311926605,1.201834862385321,1.0,1.0,1.0,0.0,0.49999999999999994,-0.5,96,96,0.6739996012204562,-0.3260003987795438,1.0039717386940912,-0.3286667589894948,1.0,1.0,1.0,1.0,0.15231931735382134,0.0186487537799993,0.3208567007945148
2024-10-17,2024-10-18,-0.0030084208021040255,-0.0026604208021040257,0.00034799999999999995,0.0,0.58,1.16,1.0,0.9933333333333333,0.9933333333333333,0.0066666666666666576,0.5,-0.49333333333333335,75,74,0.6719719267995348,-0.32802807320046523,1.0039717386940912,-0.33068641187689474,1.0,1.0,1.0,1.0,0.1556572182362448,0.0186487537799993,0.3286667589894948
2024-10-18,2024-10-21,-0.005192093114238469,-0.0047806784800921275,0.0004114146341463414,0.0,0.6856910569105691,1.3713821138211382,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,82,82,0.6684829859854373,-0.3315170140145627,1.0039717386940912,-0.33416155034905504,1.0,1.0,1.0,1.0,0.15043285143595878,0.0186487537799993,0.33068641187689474
2024-10-21,2024-10-22,-0.0020974881079283874,-0.0016987076201235094,0.000398780487804878,0.0,0.6646341463414633,1.3292682926829267,1.0,1.0,1.0,-3.469446951953614e-18,0.5,-0.5,72,72,0.6670808508719803,-0.3329191491280197,1.0039717386940912,-0.3355581385789994,1.0,1.0,1.0,1.0,0.15066190166246882,0.0186487537799993,0.33416155034905504
2024-10-22,2024-10-23,-0.0018608422878983427,-0.0015288422878983426,0.000332,0.0,0.5533333333333333,1.1066666666666667,1.0,1.0,1.0,-6.938893903907228e-18,0.5,-0.49999999999999994,75,75,0.6658395186152306,-0.3341604813847694,1.0039717386940912,-0.33679456009258146,1.0,1.0,1.0,1.0,0.15060467842494707,0.0186487537799993,0.3355581385789994
2024-10-23,2024-10-24,-0.011829238747350021,-0.01149548874735002,0.00033375000000000006,0.0,0.5562500000000001,1.1125000000000003,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,80,80,0.6579631439821104,-0.3420368560178896,1.0039717386940912,-0.34463977557978764,1.0,1.0,1.0,1.0,0.15001386794303617,0.0186487537799993,0.33679456009258146
2024-10-24,2024-10-25,0.0015006913626381126,0.0018906913626381126,0.00039,0.0,0.65,1.3,1.0,1.0,1.0,1.3877787807814457e-17,0.5000000000000001,-0.5,80,80,0.6589505435892186,-0.34104945641078144,1.0039717386940912,-0.3436562821515836,1.0,1.0,1.0,1.0,0.15229899773512914,0.0186487537799993,0.34463977557978764
2024-10-25,2024-10-28,-0.0017770165184449612,-0.0013920767594088166,0.00038493975903614453,0.0,0.641566265060241,1.283132530120482,1.0,0.9939759036144579,0.9939759036144579,0.0060240963855421655,0.5,-0.49397590361445787,83,82,0.6577795775884222,-0.3422204224115778,1.0039717386940912,-0.34482261577997786,1.0,1.0,1.0,1.0,0.15299583489639126,0.0186487537799993,0.3436562821515836
2024-10-28,2024-10-29,0.004211858127592205,0.004586717565343209,0.000374859437751004,0.0,0.6247657295850068,1.2495314591700135,1.0,1.0,1.0,5.204170427930421e-18,0.5,-0.5,90,90,0.6605500518484522,-0.33944994815154783,1.0039717386940912,-0.34206310158923625,1.0,1.0,1.0,1.0,0.14678559634502877,0.0186487537799993,0.34482261577997786
2024-10-29,2024-10-30,0.001319936599586474,0.0016566032662531406,0.00033666666666666665,0.0,0.5611111111111111,1.1222222222222222,1.0,1.0,1.0,-6.938893903907228e-18,0.49999999999999994,-0.5,85,85,0.6614219360377457,-0.3385780639622543,1.0039717386940912,-0.3411946665968054,1.0,1.0,1.0,1.0,0.14700831975291057,0.012167604324632,0.34206310158923625
2024-10-30,2024-10-31,-0.0018661640234402446,-0.0015347686746030355,0.0003313953488372092,0.0,0.5523255813953487,1.1046511627906974,1.0,1.0,1.0,0.0,0.5,-0.5,86,86,0.6601876142163979,-0.33981238578360207,1.0039717386940912,-0.3424241054084529,1.0,1.0,1.0,1.0,0.13480071163266238,0.012167604324632,0.3411946665968054
2024-10-31,2024-11-01,0.0017637556279622574,0.0021332293121727837,0.0003694736842105263,0.0,0.6157894736842106,1.231578947368421,1.0,1.0,1.0,-6.938893903907228e-18,0.5,-0.5,95,95,0.6613520238364831,-0.33864797616351694,1.0039717386940912,-0.34126430222355475,1.0,1.0,1.0,1.0,0.12442397943415176,0.012167604324632,0.3424241054084529
2024-11-01,2024-11-04,-0.00019630465194001565,0.00015737955858630007,0.0003536842105263157,0.0,0.5894736842105263,1.1789473684210525,1.0,1.0,1.0,2.7755575615628914e-17,0.5,-0.5,94,94,0.661222197357634,-0.338777802642366,1.0039717386940912,-0.3413936151054273,1.0,1.0,1.0,1.0,0.11110408491480304,0.012167604324632,0.34126430222355475
2024-11-04,2024-11-05,0.017732941013257723,0.018053467329047196,0.00032052631578947363,0.0,0.5342105263157895,1.068421052631579,1.0,0.9947368421052631,0.9947368421052631,-0.0052631578947368515,0.49473684210526314,-0.5,94,95,0.6729476115800335,-0.32705238841996653,1.0039717386940912,-0.329714586931137,1.0,1.0,1.0,1.0,0.11085388370924752,0.012167604324632,0.3413936151054273
2024-11-05,2024-11-06,0.006651083387086536,0.0069873991765602205,0.00033631578947368424,0.0,0.5605263157894738,1.1210526315789475,1.0,1.0,1.0,-1.3877787807814457e-17,0.5,-0.5,95,95,0.677423442259793,-0.322576557740207,1.0039717386940912,-0.3252564627556682,1.0,1.0,1.0,1.0,0.1263645186258065,0.012167604324632,0.329714586931137
2024-11-06,2024-11-07,0.008032356015416268,0.008441226983158204,0.0004088709677419354,0.0,0.6814516129032258,1.3629032258064515,1.0,1.0,1.0,0.0,0.5,-0.49999999999999994,124,124,0.6828647485212125,-0.3171352514787875,1.0039717386940912,-0.3198366824454205,1.0,1.0,1.0,1.0,0.1287443445699484,0.012167604324632,0.3252564627556682
2024-11-07,2024-11-08,0.0008582659484067886,0.001192136916148724,0.0003338709677419354,0.0,0.5564516129032258,1.1129032258064515,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,0.5,-0.49999999999999994,114,114,0.6834508280822357,-0.3165491719177643,1.0039717386940912,-0.3192529214306079,1.0,1.0,1.0,1.0,0.1331277786403991,0.012167604324632,0.3198366824454205
2024-11-08,2024-11-11,-0.0010095009330560744,-0.0007095009330560745,0.0003,0.0,0.5,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,-3.469446951953614e-18,0.4999999999999999,-0.4999999999999999,107,107,0.6827608838335887,-0.3172391161664113,1.0039717386940912,-0.3199401362415989,1.0,1.0,1.0,1.0,0.10243169253507499,0.012167604324632,0.3192529214306079
2024-11-11,2024-11-12,-0.009074665298563416,-0.008791179060031306,0.0002834862385321101,0.0,0.4724770642201835,0.944954128440367,1.0,1.0,1.0,0.0,0.5,-0.5,109,109,0.6765650573338475,-0.32343494266615247,1.0039717386940912,-0.326111451888193,1.0,1.0,1.0,1.0,0.1023443053753129,0.012167604324632,0.3199401362415989
2024-11-12,2024-11-13,-0.011807663029236198,-0.011539484650346574,0.0002681783788896245,0.0,0.44696396481604084,0.8939279296320817,0.9999999999999999,0.9948453608247422,0.9948453608247422,0.005154639175257741,0.49999999999999994,-0.4948453608247423,97,96,0.6685764051194936,-0.33142359488050643,1.0039717386940912,-0.33406850078355854,1.0,1.0,1.0,1.0,0.1067773717002736,0.012167604324632,0.326111451888193
2024-11-13,2024-11-14,0.0069870982465073785,0.00733772576779828,0.00035062752129090086,0.0,0.5843792021515015,1.168758404303003,1.0,1.0,1.0,0.0,0.5,-0.49999999999999994,115,115,0.6732478141473602,-0.32675218585263976,1.0039717386940912,-0.32941557197308924,1.0,1.0,1.0,1.0,0.11377413429293574,0.012167604324632,0.33406850078355854
2024-11-14,2024-11-15,0.008148364641573166,0.008379036910480728,0.000230672268907563,0.0,0.38445378151260506,0.7689075630252101,1.0,0.9957983193277311,0.9957983193277311,-0.0042016806722689,0.4957983193277311,-0.5,118,119,0.6787336828311751,-0.3212663171688249,1.0039717386940912,-0.3239514055305651,1.0,1.0,1.0,1.0,0.10991317576035965,0.012167604324632,0.32941557197308924
2024-11-15,2024-11-18,0.0008465839168775689,0.0010803234126758883,0.00023373949579831934,0.0,0.38956582633053227,0.7791316526610645,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,120,120,0.6793082878509031,-0.32069171214909686,1.0039717386940912,-0.3233790736634595,1.0,1.0,1.0,1.0,0.1129987905897318,0.012167604324632,0.3239514055305651
2024-11-18,2024-11-19,-0.003678781281476072,-0.003482439818061438,0.00019634146341463414,0.0,0.3272357723577236,0.6544715447154472,1.0,0.9959349593495935,0.9959349593495935,0.004065040650406512,0.5,-0.49593495934959353,123,122,0.6768092612372058,-0.32319073876279425,1.0039717386940912,-0.32586821406192135,1.0,1.0,1.0,1.0,0.11096145515803504,0.012167604324632,0.3233790736634595
2024-11-19,2024-11-20,0.00806132932154601,0.008251573223985034,0.0001902439024390244,0.0,0.3170731707317074,0.6341463414634148,1.0,0.9959349593495936,0.9959349593495936,0.004065040650406512,0.5,-0.49593495934959353,123,122,0.682265243579911,-0.31773475642008897,1.0039717386940912,-0.3204338157293526,1.0,1.0,1.0,1.0,0.11165396740811617,0.012167604324632,0.32586821406192135
2024-11-20,2024-11-21,-0.006230543229082509,-0.006026117579987308,0.00020442564909520068,0.0,0.3407094151586678,0.6814188303173356,1.0,1.0,1.0,0.0,0.5,-0.49999999999999994,124,124,0.6780143604860859,-0.3219856395139141,1.0039717386940912,-0.32466788221747356,1.0,1.0,1.0,1.0,0.11410750860527108,0.012167604324632,0.3204338157293526
2024-11-21,2024-11-22,-0.012057702596319728,-0.011873831628577792,0.00018387096774193543,0.0,0.30645161290322576,0.6129032258064515,1.0,1.0,1.0,0.0,0.5,-0.5,124,124,0.6698390649713107,-0.33016093502868926,1.0039717386940912,-0.332810836047438,1.0,1.0,1.0,1.0,0.10711661992877058,0.012167604324632,0.32466788221747356
2024-11-22,2024-11-25,-0.007638640486841321,-0.007423679856920062,0.0002149606299212598,0.0,0.35826771653543305,0.7165354330708661,1.0,1.0,1.0,0.0,0.5,-0.5,127,127,0.664722405169953,-0.33527759483004704,1.0039717386940912,-0.3379072542075878,1.0,1.0,1.0,1.0,0.11746700502184805,0.012384644981153221,0.332810836047438
2024-11-25,2024-11-26,0.0037694864488921702,0.0039785773579830794,0.0002090909090909091,0.0,0.3484848484848485,0.696969696969697,1.0,1.0,1.0,6.938893903907228e-18,0.5,-0.5,132,132,0.6672280672685161,-0.33277193273148387,1.0039717386940912,-0.3354115045744135,1.0,1.0,1.0,1.0,0.12099266394664618,0.012384644981153221,0.3379072542075878
2024-11-26,2024-11-27,-0.010825814826503773,-0.010593996644685591,0.00023181818181818183,0.0,0.3863636363636364,0.7727272727272728,1.0,1.0,1.0,0.0,0.5,-0.5,122,122,0.6600047797652212,-0.3399952202347788,1.0039717386940912,-0.34260621656171564,1.0,1.0,1.0,1.0,0.12082529482275124,0.012384644981153221,0.3354115045744135
