long_threshold_alpha,short_threshold_alpha,cost_adjusted_alpha_threshold,trading_cost_return,min_net_alpha_after_cost,filtered_missing_or_untradable,filtered_price,filtered_liquidity,filtered_alpha_threshold,row,final_number_long,final_number_short
0.0029377540296164286,-0.0034231313005060903,0.0007999999999999999,0.0003,0.0005,4410,1269,1595,1024,205,80,80
0.0031680758408581234,-0.003229477221518444,0.0007999999999999999,0.0003,0.0005,4421,1265,1605,956,206,83,83
0.003442518612891075,-0.0036408658920832476,0.0007999999999999999,0.0003,0.0005,4410,1250,1547,867,207,90,90
0.003960615164857544,-0.003722860263577009,0.0007999999999999999,0.0003,0.0005,4411,1251,1574,904,208,85,85
0.0037876410287833854,-0.0037325241020240148,0.0007999999999999999,0.0003,0.0005,4413,1253,1563,921,209,86,86
0.003998083396751382,-0.003968601789428316,0.0007999999999999999,0.0003,0.0005,4416,1256,1565,832,210,95,95
0.0038358995170748172,-0.004046075974748523,0.0007999999999999999,0.0003,0.0005,4405,1251,1613,778,211,94,94
0.0036632362979344135,-0.003494776647784693,0.0007999999999999999,0.0003,0.0005,4410,1256,1576,845,212,95,95
0.0033151820583468376,-0.0034447839208303728,0.0007999999999999999,0.0003,0.0005,4409,1250,1562,832,213,95,95
0.004221426688101173,-0.0035285010734049725,0.0007999999999999999,0.0003,0.0005,4403,1240,1378,603,214,124,124
0.004337572491970622,-0.002990138269326332,0.0007999999999999999,0.0003,0.0005,4411,1242,1451,657,215,114,114
0.004058151951326549,-0.0031233731277406965,0.0007999999999999999,0.0003,0.0005,4420,1247,1486,698,216,107,107
0.0038264323034286887,-0.002193277878779239,0.0007999999999999999,0.0003,0.0005,4412,1242,1412,747,217,109,109
0.003365171969949803,-0.002131354343920449,0.0007999999999999999,0.0003,0.0005,4414,1243,1416,952,218,97,97
0.003402061599236153,-0.002349261166534153,0.0007999999999999999,0.0003,0.0005,4433,1249,1413,636,219,115,115
0.0036756447690991442,-0.0019726672563220825,0.0007999999999999999,0.0003,0.0005,4417,1265,1425,543,220,119,119
0.004396219103349088,-0.0024220294189997104,0.0007999999999999999,0.0003,0.0005,4414,1281,1483,415,221,120,120
0.005004854340454533,-0.0024593710919109694,0.0007999999999999999,0.0003,0.0005,4397,1288,1518,357,222,123,123
0.005081530105645691,-0.0023116381089578857,0.0007999999999999999,0.0003,0.0005,4411,1280,1501,364,223,123,123
0.005311178359451442,-0.0016212236242699176,0.0007999999999999999,0.0003,0.0005,4409,1279,1514,345,224,124,124
